,Year,City,Sport,Discipline,NOC,Event,Event gender,Medal
48,1924,Chamonix,Skiing,Ski Jumping,USA,K90 individual (70m),M,Bronze
49,1928,St. Moritz,Skating,Figure skating,AUT,individual,M,Silver
50,1928,St. Moritz,Skating,Figure skating,AUT,individual,W,Silver
51,1928,St. Moritz,Skating,Figure skating,AUT,pairs,X,Bronze
52,1928,St. Moritz,Skating,Figure skating,AUT,pairs,X,Silver
53,1928,St. Moritz,Skating,Figure skating,BEL,individual,M,Bronze
54,1928,St. Moritz,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Gold
55,1928,St. Moritz,Skating,Speed skating,FIN,1500m,M,Gold
56,1928,St. Moritz,Skating,Speed skating,FIN,5000m,M,Silver
57,1928,St. Moritz,Skating,Speed skating,FIN,500m,M,Bronze
58,1928,St. Moritz,Skating,Speed skating,FIN,500m,M,Gold
59,1928,St. Moritz,Skating,Figure skating,FRA,pairs,X,Gold
60,1928,St. Moritz,Bobsleigh,Skeleton,GBR,individual,M,Bronze
61,1928,St. Moritz,Bobsleigh,Bobsleigh,GER,five-man,M,Bronze
62,1928,St. Moritz,Skating,Figure skating,NOR,individual,W,Gold
63,1928,St. Moritz,Skating,Speed skating,NOR,1500m,M,Bronze
64,1928,St. Moritz,Skating,Speed skating,NOR,1500m,M,Silver
65,1928,St. Moritz,Skating,Speed skating,NOR,5000m,M,Bronze
66,1928,St. Moritz,Skating,Speed skating,NOR,5000m,M,Gold
67,1928,St. Moritz,Skating,Speed skating,NOR,500m,M,Bronze
68,1928,St. Moritz,Skating,Speed skating,NOR,500m,M,Gold
69,1928,St. Moritz,Skiing,Cross Country S,NOR,18km,M,Bronze
70,1928,St. Moritz,Skiing,Cross Country S,NOR,18km,M,Gold
71,1928,St. Moritz,Skiing,Cross Country S,NOR,18km,M,Silver
72,1928,St. Moritz,Skiing,Nordic Combined,NOR,individual,M,Bronze
73,1928,St. Moritz,Skiing,Nordic Combined,NOR,individual,M,Gold
74,1928,St. Moritz,Skiing,Nordic Combined,NOR,individual,M,Silver
75,1928,St. Moritz,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Gold
76,1928,St. Moritz,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Silver
77,1928,St. Moritz,Ice Hockey,Ice Hockey,SUI,ice hockey,M,Bronze
78,1928,St. Moritz,Ice Hockey,Ice Hockey,SWE,ice hockey,M,Silver
79,1928,St. Moritz,Skating,Figure skating,SWE,individual,M,Gold
80,1928,St. Moritz,Skiing,Cross Country S,SWE,50km,M,Bronze
81,1928,St. Moritz,Skiing,Cross Country S,SWE,50km,M,Gold
82,1928,St. Moritz,Skiing,Cross Country S,SWE,50km,M,Silver
83,1928,St. Moritz,Skiing,Ski Jumping,TCH,K90 individual (70m),M,Bronze
84,1928,St. Moritz,Bobsleigh,Bobsleigh,USA,five-man,M,Gold
85,1928,St. Moritz,Bobsleigh,Bobsleigh,USA,five-man,M,Silver
86,1928,St. Moritz,Bobsleigh,Skeleton,USA,individual,M,Gold
87,1928,St. Moritz,Bobsleigh,Skeleton,USA,individual,M,Silver
88,1928,St. Moritz,Skating,Figure skating,USA,individual,W,Bronze
89,1928,St. Moritz,Skating,Speed skating,USA,500m,M,Bronze
90,1932,Lake Placid,Skating,Figure skating,AUT,individual,M,Gold
91,1932,Lake Placid,Skating,Figure skating,AUT,individual,W,Silver
92,1932,Lake Placid,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Gold
93,1932,Lake Placid,Skating,Figure skating,CAN,individual,M,Bronze
94,1932,Lake Placid,Skating,Speed skating,CAN,10000m,M,Bronze
95,1932,Lake Placid,Skating,Speed skating,CAN,1500m,M,Bronze
96,1932,Lake Placid,Skating,Speed skating,CAN,1500m,M,Silver
97,1932,Lake Placid,Skating,Speed skating,CAN,5000m,M,Bronze
98,1932,Lake Placid,Skating,Speed skating,CAN,500m,M,Bronze
